hall_name,bench,seat_no,class,reg_no
MainHall,1,1,CSE3A,3A2023059
MainHall,1,2,CSE3B,3B2022028
MainHall,2,1,CSE3A,3A2021027
MainHall,2,2,CSE3B,3B2021042
MainHall,3,1,CSE3A,3A2022043
MainHall,3,2,CSE3B,3B2021033
MainHall,4,1,CSE3A,3A2021063
MainHall,4,2,CSE3B,3B2022010
MainHall,5,1,CSE3A,3A2021048
MainHall,5,2,CSE3B,3B2021078
MainHall,6,1,CSE3A,3A2022073
MainHall,6,2,CSE3B,3B2021090
MainHall,7,1,CSE3A,3A2023098
MainHall,7,2,CSE3B,3B2022061
MainHall,8,1,CSE3A,3A2023026
MainHall,8,2,CSE3B,3B2021084
MainHall,9,1,CSE3A,3A2022076
MainHall,9,2,CSE3B,3B2021015
MainHall,10,1,CSE3A,3A2023083
MainHall,10,2,CSE3B,3B2023038
MainHall,11,1,CSE3A,3A2021036
MainHall,11,2,CSE3B,3B2021003
MainHall,12,1,CSE3A,3A2022031
MainHall,12,2,CSE3B,3B2022094
MainHall,13,1,CSE3A,3A2022037
MainHall,13,2,CSE3B,3B2021009
MainHall,14,1,CSE3A,3A2023077
MainHall,14,2,CSE3B,3B2023074
MainHall,15,1,CSE3A,3A2021018
MainHall,15,2,CSE3B,3B2022073
MainHall,16,1,CSE3A,3A2021090
MainHall,16,2,CSE3B,3B2022091
MainHall,17,1,CSE3A,3A2021078
MainHall,17,2,CSE3B,3B2021096
MainHall,18,1,CSE3A,3A2022007
MainHall,18,2,CSE3B,3B2023029
MainHall,19,1,CSE3A,3A2021033
MainHall,19,2,CSE3B,3B2021006
MainHall,20,1,CSE3A,3A2021009
MainHall,20,2,CSE3B,3B2023089
MainHall,21,1,CSE3A,3A2023092
MainHall,21,2,CSE3B,3B2023098
MainHall,22,1,CSE3A,3A2022082
MainHall,22,2,CSE3B,3B2021066
MainHall,23,1,CSE3A,3A2023047
MainHall,23,2,CSE3B,3B2022055
MainHall,24,1,CSE3A,3A2023089
MainHall,24,2,CSE3B,3B2023056
MainHall,25,1,CSE3A,3A2023005
MainHall,25,2,CSE3B,3B2023062
MainHall,26,1,CSE3A,3A2022046
MainHall,26,2,CSE3B,3B2023059
MainHall,27,1,CSE3A,3A2023086
MainHall,27,2,CSE3B,3B2021045
MainHall,28,1,CSE3A,3A2022064
MainHall,28,2,CSE3B,3B2023002
MainHall,29,1,CSE3A,3A2022094
MainHall,29,2,CSE3B,3B2023011
MainHall,30,1,CSE3A,3A2023053
MainHall,30,2,CSE3B,3B2022025
BlockB-201,31,1,CSE3A,3A2021093
BlockB-201,31,2,CSE3B,3B2021063
BlockB-201,32,1,CSE3A,3A2022040
BlockB-201,32,2,CSE3B,3B2022058
BlockB-201,32,3,CSE4A,4A2022058
BlockB-201,33,1,CSE3A,3A2022097
BlockB-201,33,2,CSE3B,3B2023035
BlockB-201,33,3,CSE4A,4A2021048
BlockB-201,34,1,CSE3A,3A2022085
BlockB-201,34,2,CSE3B,3B2022022
BlockB-201,34,3,CSE4A,4A2021042
BlockB-201,35,1,CSE3A,3A2021087
BlockB-201,35,2,CSE3B,3B2022049
BlockB-201,35,3,CSE4A,4A2022046
BlockB-201,36,1,CSE3A,3A2021060
BlockB-201,36,2,CSE3B,3B2023077
BlockB-201,36,3,CSE4A,4A2021075
BlockB-201,37,1,CSE3A,3A2021054
BlockB-201,37,2,CSE3B,3B2022076
BlockB-201,37,3,CSE4A,4A2021078
BlockB-201,38,1,CSE3A,3A2023011
BlockB-201,38,2,CSE3B,3B2023065
BlockB-201,38,3,CSE4A,4A2022016
BlockB-201,39,1,CSE3A,3A2021066
BlockB-201,39,2,CSE3B,3B2021072
BlockB-201,39,3,CSE4A,4A2021087
BlockB-201,40,1,CSE3A,3A2021051
BlockB-201,40,2,CSE3B,3B2023044
BlockB-201,40,3,CSE4A,4A2021063
BlockB-201,41,1,CSE3A,3A2022061
BlockB-201,41,2,CSE3B,3B2022031
BlockB-201,41,3,CSE4A,4A2021027
BlockB-201,42,1,CSE3A,3A2022055
BlockB-201,42,2,CSE3B,3B2022043
BlockB-201,42,3,CSE4A,4A2022073
BlockB-201,43,1,CSE3A,3A2022022
BlockB-201,43,2,CSE3B,3B2022001
BlockB-201,43,3,CSE4A,4A2021099
BlockB-201,44,1,CSE3A,3A2021069
BlockB-201,44,2,CSE3B,3B2023005
BlockB-201,44,3,CSE4A,4A2023047
BlockB-201,45,1,CSE3A,3A2023017
BlockB-201,45,2,CSE3B,3B2023086
BlockB-201,45,3,CSE4A,4A2021057
BlockB-201,46,1,CSE3A,3A2021042
BlockB-201,46,2,CSE3B,3B2021081
BlockB-201,46,3,CSE4A,4A2021072
BlockB-201,47,1,CSE3A,3A2021003
BlockB-201,47,2,CSE3B,3B2021039
BlockB-201,47,3,CSE4A,4A2023017
BlockB-201,48,1,CSE3A,3A2022088
BlockB-201,48,2,CSE3B,3B2021051
BlockB-201,48,3,CSE4A,4A2023002
BlockB-201,49,1,CSE3A,3A2023008
BlockB-201,49,2,CSE3B,3B2022067
BlockB-201,49,3,CSE4A,4A2022097
BlockB-201,50,1,CSE3A,3A2021006
BlockB-201,50,2,CSE3B,3B2021018
BlockB-201,50,3,CSE4A,4A2021018
BlockC-101,51,1,CSE3A,3A2022091
BlockC-101,51,2,CSE3B,3B2022046
BlockC-101,51,3,CSE4A,4A2021090
BlockC-101,52,1,CSE3A,3A2021030
BlockC-101,52,2,CSE3B,3B2021057
BlockC-101,53,1,CSE3A,3A2021084
BlockC-101,53,2,CSE3B,3B2022085
BlockC-101,54,1,CSE3A,3A2023074
BlockC-101,54,2,CSE3B,3B2023020
BlockC-101,55,1,CSE3A,3A2022052
BlockC-101,55,2,CSE3B,3B2023017
BlockC-101,56,1,CSE3A,3A2022079
BlockC-101,56,2,CSE3B,3B2022097
BlockC-101,57,1,CSE3A,3A2021075
BlockC-101,57,2,CSE3B,3B2021060
BlockC-101,58,1,CSE3A,3A2021096
BlockC-101,58,2,CSE3B,3B2022007
BlockC-101,59,1,CSE3A,3A2023065
BlockC-101,59,2,CSE3B,3B2023068
BlockC-101,60,1,CSE3A,3A2022001
BlockC-101,60,2,CSE3B,3B2022082
BlockC-101,61,1,CSE3A,3A2022058
BlockC-101,61,2,CSE3B,3B2021012
BlockC-101,62,1,CSE3A,3A2021021
BlockC-101,62,2,CSE3B,3B2021048
BlockC-101,63,1,CSE3A,3A2023041
BlockC-101,63,2,CSE3B,3B2022070
BlockC-101,64,1,CSE3A,3A2022010
BlockC-101,64,2,CSE3B,3B2022088
BlockC-101,65,1,CSE3A,3A2023023
BlockC-101,65,2,CSE3B,3B2022004
