id,subject,unit,topic,question_text,question_type,difficulty,marks
1,Cloud Computing,Unit 1,Introduction,What is cloud computing? Explain its key characteristics.,Short Answer,Easy,4
2,Cloud Computing,Unit 1,Introduction,Define cloud computing and explain its benefits.,Short Answer,Easy,4
3,Cloud Computing,Unit 1,Service Models,Explain IaaS PaaS and SaaS with examples.,Short Answer,Easy,4
4,Cloud Computing,Unit 1,Service Models,Differentiate between IaaS PaaS and SaaS.,Short Answer,Medium,4
5,Cloud Computing,Unit 1,Deployment Models,What are the different cloud deployment models?,Short Answer,Easy,4
6,Cloud Computing,Unit 1,Deployment Models,Compare public private and hybrid cloud.,Short Answer,Medium,4
7,Cloud Computing,Unit 1,Evolution,Explain the evolution of cloud computing.,Short Answer,Medium,4
8,Cloud Computing,Unit 1,Characteristics,What are the five essential characteristics of cloud computing?,Short Answer,Easy,4
9,Cloud Computing,Unit 1,Advantages,Explain the advantages and disadvantages of cloud computing.,Short Answer,Medium,4
10,Cloud Computing,Unit 1,Cloud vs Traditional,Differentiate between cloud computing and traditional computing.,Short Answer,Hard,4
11,Cloud Computing,Unit 2,Virtualization,What is virtualization? Explain its role in cloud computing.,Short Answer,Easy,4
12,Cloud Computing,Unit 2,Virtualization,Define hypervisor and explain its types.,Short Answer,Easy,4
13,Cloud Computing,Unit 2,Hypervisor,Differentiate between Type 1 and Type 2 hypervisors.,Short Answer,Medium,4
14,Cloud Computing,Unit 2,Virtual Machines,What is a virtual machine? Explain VM lifecycle.,Short Answer,Medium,4
15,Cloud Computing,Unit 2,Containers,Differentiate between virtual machines and containers.,Short Answer,Medium,4
16,Cloud Computing,Unit 2,Docker,What is Docker? Explain its architecture.,Short Answer,Medium,4
17,Cloud Computing,Unit 2,Server Virtualization,Explain server virtualization and its benefits.,Short Answer,Hard,4
18,Cloud Computing,Unit 2,Storage Virtualization,What is storage virtualization? Explain its types.,Short Answer,Hard,4
19,Cloud Computing,Unit 2,Network Virtualization,Define network virtualization and its advantages.,Short Answer,Hard,4
20,Cloud Computing,Unit 2,Live Migration,What is live migration in virtualization?,Short Answer,Hard,4
21,Cloud Computing,Unit 3,Cloud Architecture,Explain the basic cloud computing architecture.,Short Answer,Easy,4
22,Cloud Computing,Unit 3,Cloud Layers,What are the different layers in cloud architecture?,Short Answer,Easy,4
23,Cloud Computing,Unit 3,Data Centers,Explain cloud data center architecture.,Short Answer,Medium,4
24,Cloud Computing,Unit 3,Scalability,What is scalability? Differentiate between vertical and horizontal scaling.,Short Answer,Medium,4
25,Cloud Computing,Unit 3,Elasticity,Define elasticity in cloud computing.,Short Answer,Medium,4
26,Cloud Computing,Unit 3,Load Balancing,What is load balancing? Explain its importance.,Short Answer,Medium,4
27,Cloud Computing,Unit 3,Multi-tenancy,Explain multi-tenancy in cloud computing.,Short Answer,Hard,4
28,Cloud Computing,Unit 3,Cloud Storage,What are the types of cloud storage?,Short Answer,Easy,4
29,Cloud Computing,Unit 3,Object Storage,Differentiate between block storage object storage and file storage.,Short Answer,Hard,4
30,Cloud Computing,Unit 3,CDN,What is Content Delivery Network? Explain its working.,Short Answer,Hard,4
31,Cloud Computing,Unit 4,Cloud Security,What are the major security concerns in cloud computing?,Short Answer,Easy,4
32,Cloud Computing,Unit 4,Cloud Security,Explain data security in cloud computing.,Short Answer,Easy,4
33,Cloud Computing,Unit 4,Identity Management,What is Identity and Access Management in cloud?,Short Answer,Medium,4
