id,subject,unit,topic,question_text,question_type,difficulty,marks
1,Ethical Hacking,Unit 1,Introduction,What is ethical hacking? Differentiate between ethical hacker and malicious hacker.,Short Answer,Easy,4
2,Ethical Hacking,Unit 1,Introduction,Explain the different types of hackers white hat grey hat and black hat.,Short Answer,Easy,4
3,Ethical Hacking,Unit 1,Ethics,What are the ethical guidelines for penetration testing?,Short Answer,Easy,4
4,Ethical Hacking,Unit 1,Hacking Phases,List and explain the five phases of ethical hacking.,Short Answer,Medium,4
5,Ethical Hacking,Unit 1,Footprinting,What is footprinting? Explain its importance in reconnaissance.,Short Answer,Medium,4
6,Ethical Hacking,Unit 1,Scanning,Differentiate between active and passive reconnaissance.,Short Answer,Medium,4
7,Ethical Hacking,Unit 1,Legal Aspects,Explain the legal implications of unauthorized hacking.,Short Answer,Hard,4
8,Ethical Hacking,Unit 1,CEH,What is Certified Ethical Hacker certification? Explain its importance.,Short Answer,Easy,4
9,Ethical Hacking,Unit 1,Vulnerability,Define vulnerability threat and risk in cybersecurity.,Short Answer,Medium,4
10,Ethical Hacking,Unit 1,Security Testing,Differentiate between vulnerability assessment and penetration testing.,Short Answer,Hard,4
11,Ethical Hacking,Unit 2,Network Scanning,What is network scanning? Explain different types of scans.,Short Answer,Easy,4
12,Ethical Hacking,Unit 2,Nmap,Explain the usage and features of Nmap tool.,Short Answer,Easy,4
13,Ethical Hacking,Unit 2,Port Scanning,What is port scanning? Explain TCP SYN scan.,Short Answer,Medium,4
14,Ethical Hacking,Unit 2,Enumeration,Define enumeration and explain its techniques.,Short Answer,Medium,4
15,Ethical Hacking,Unit 2,Banner Grabbing,What is banner grabbing? How is it useful in hacking?,Short Answer,Medium,4
16,Ethical Hacking,Unit 2,Firewall,Explain firewall evasion techniques.,Short Answer,Hard,4
17,Ethical Hacking,Unit 2,IDS,What is Intrusion Detection System? Differentiate between IDS and IPS.,Short Answer,Medium,4
18,Ethical Hacking,Unit 2,Packet Sniffing,Explain packet sniffing and tools used for it.,Short Answer,Hard,4
19,Ethical Hacking,Unit 2,Wireshark,What is Wireshark? Explain its basic features.,Short Answer,Medium,4
20,Ethical Hacking,Unit 2,ARP,Explain ARP poisoning attack and its prevention.,Short Answer,Hard,4
21,Ethical Hacking,Unit 3,System Hacking,What is system hacking? Explain password cracking techniques.,Short Answer,Easy,4
22,Ethical Hacking,Unit 3,Password Attacks,Differentiate between brute force and dictionary attacks.,Short Answer,Easy,4
23,Ethical Hacking,Unit 3,Privilege Escalation,What is privilege escalation? Explain its types.,Short Answer,Medium,4
24,Ethical Hacking,Unit 3,Keyloggers,Explain keyloggers and their working mechanism.,Short Answer,Medium,4
25,Ethical Hacking,Unit 3,Rootkits,What are rootkits? How do they hide malicious activities?,Short Answer,Hard,4
26,Ethical Hacking,Unit 3,Steganography,Define steganography and explain its techniques.,Short Answer,Medium,4
27,Ethical Hacking,Unit 3,Backdoors,What are backdoors? How are they created and detected?,Short Answer,Hard,4
28,Ethical Hacking,Unit 3,Spyware,Differentiate between spyware malware and adware.,Short Answer,Medium,4
